location,day_shift,week_day,local_bright,local_noise,battery_level,battery_charging,power_saving,playback,headset,bluetooth,network,screen,orientation,app,volume,bright,ring_mode
P5,9,1,12,14,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,12,26,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,11,66,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,11,21,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,11,22,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,11,2,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,12,12,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,12,0,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,12,23,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,12,0,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,11,28,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,11,26,5,0,0,1,1,1,1,1,1,9,15,38,0
D11,9,1,11,49,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,11,18,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,2,0,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,5,20,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,5,0,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,7,8,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,1,67,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,3,23,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,6,25,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,4,130,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,1,43,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,2,57,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,6,5,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,2,22,5,0,0,1,1,1,1,1,1,9,15,38,0
P5,9,1,4,18,5,0,0,1,1,1,1,1,1,2,15,38,0
P5,9,1,4,8,5,0,0,0,1,1,1,1,1,30,15,38,0
P5,9,1,1,3,5,0,0,0,1,1,1,1,1,30,15,38,0
P5,9,1,0,3,5,0,0,1,1,1,1,1,1,30,15,38,0
P5,9,1,9,0,5,0,0,1,1,1,1,1,1,30,15,38,0
P5,9,1,11,11,5,0,0,1,1,1,1,1,1,30,15,38,0
P5,9,1,8,13,5,0,0,1,1,1,1,1,1,30,15,38,0
D11,9,1,3,10,5,0,0,1,1,1,1,1,1,30,15,38,0
D11,9,1,2,9,5,0,0,1,1,1,1,1,1,30,15,38,0
P5,9,1,0,7,5,0,0,1,1,1,1,1,1,30,15,38,0
P5,9,1,0,7,5,0,0,1,1,1,1,0,1,30,15,38,0
P5,9,1,0,33,5,0,0,1,1,1,1,0,1,30,15,38,0
D11,9,1,0,10,5,0,0,1,1,1,1,0,1,30,15,38,0
D11,9,1,0,78,5,0,0,1,1,1,1,0,1,30,15,38,0
P5,9,1,0,6,5,0,0,1,1,1,1,0,1,30,15,38,0
P5,9,1,0,2,5,0,0,1,1,1,1,0,1,30,15,38,0
P5,9,1,0,19,5,0,0,1,1,1,1,0,1,30,15,38,0
P5,9,1,0,99,5,0,0,1,1,1,1,0,1,30,15,38,0
D11,9,1,0,0,5,0,0,1,1,1,1,0,1,30,15,38,0
D11,9,1,0,96,5,0,0,1,1,1,1,0,1,30,15,38,0
D11,9,1,0,62,5,0,0,1,1,1,1,0,1,30,15,38,0
D11,9,1,0,25,5,0,0,1,1,1,1,0,1,30,15,38,0
D11,9,1,0,45,5,0,0,1,1,1,1,0,1,30,15,38,0
D10,9,1,0,12,4,0,0,1,1,1,1,0,1,30,15,38,0
D10,9,1,0,6,4,0,0,1,1,1,1,0,1,30,15,38,0
D10,9,1,0,10,4,0,0,1,1,1,1,0,1,30,15,38,0
D10,9,1,0,10,4,0,0,1,1,1,1,0,1,30,15,38,0
D10,9,1,0,28,4,0,0,1,1,1,1,0,1,30,15,38,0
D10,9,1,0,147,4,0,0,1,1,1,1,0,1,30,15,38,0
D10,9,1,0,13,4,0,0,1,1,1,1,0,1,30,15,38,0
D10,9,1,0,13,4,0,0,1,1,1,1,0,1,30,15,38,0
D10,9,1,0,0,4,0,0,1,1,1,1,0,1,30,15,38,0
D10,9,1,0,23,4,0,0,1,1,1,1,0,1,30,15,38,0
D9,9,1,0,1,4,0,0,1,1,1,1,0,1,30,15,38,0
D9,9,1,0,27,4,0,0,1,1,1,1,0,1,30,15,38,0
D9,9,1,0,8,4,0,0,1,1,1,1,0,1,30,15,38,0
D9,9,1,0,36,4,0,0,1,1,1,1,0,1,30,15,38,0
D9,9,1,0,0,4,0,0,1,1,1,1,0,1,30,15,38,0
D9,9,1,0,25,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,0,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,18,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,0,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,3,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,5,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,2,4,0,0,0,1,1,1,1,1,30,15,38,0
D9,9,1,1,5,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,4,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,3,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,11,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,7,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,8,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,0,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,9,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,28,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,3,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,0,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,0,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,24,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,0,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,31,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,39,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,47,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,4,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,13,4,0,0,0,1,1,1,0,1,30,15,38,0
D9,9,1,0,0,4,0,0,0,1,1,1,1,1,30,15,38,0
D9,9,1,2,42,4,0,0,0,1,1,1,1,1,21,15,38,0
D9,9,1,2,1,4,0,0,0,1,1,1,1,1,21,15,38,0
D9,9,1,2,5,4,0,0,0,1,1,1,1,1,21,15,38,0
D9,9,1,2,7,4,0,0,0,1,1,1,1,1,21,15,38,0
D9,9,1,2,0,4,0,0,0,1,1,1,1,1,21,15,38,0
D9,9,1,2,10,4,0,0,0,1,1,1,1,1,21,15,38,0
D9,9,1,2,7,4,0,0,0,1,1,1,1,1,21,15,38,0
D9,9,1,1,1,4,0,0,0,1,1,1,1,1,21,15,38,0
D9,9,1,3,0,4,0,0,0,1,1,1,1,1,21,15,38,0
D9,9,1,2,7,4,0,0,0,1,1,1,1,1,21,15,38,0
D9,9,1,2,4,4,0,0,0,1,1,1,1,1,21,15,38,0
D9,9,1,2,0,4,0,0,0,1,1,1,1,1,21,15,38,0
D9,9,1,3,22,4,0,0,0,1,1,1,1,1,21,15,38,0
D9,9,1,2,153,4,0,0,1,1,1,1,0,1,21,15,38,0
D8,9,1,0,217,4,0,0,1,1,1,1,0,1,21,15,38,0
D9,9,1,0,0,4,0,0,1,1,1,1,0,1,21,15,38,0
D9,9,1,0,12,4,0,0,1,1,1,1,0,1,21,15,38,0
D9,9,1,0,10,4,0,0,1,1,1,1,0,1,21,15,38,0
D9,9,1,0,68,4,0,0,1,1,1,1,0,1,21,15,38,0
D9,9,1,0,6,4,0,0,1,1,1,1,0,1,21,15,38,0
D9,9,1,0,35,4,0,0,1,1,1,1,0,1,21,15,38,0
